DateObtainedTrans,Date Obtained,Enakuzomwezi  lwewabifuna,,,
AddFeedItemTrans,Add Feed Cost,Jjuzamu sente ze wabigula,,,
OtherPurchasedFromTranslation,Other Purchased From,Awalala jewagula,,,
PurchasedFromTranslation,Purchased From,jjewabigula/wabigulawa,,,
OtherAmountPurchasedUnitTranslation,Other unit,Ekipimo ekilala,,,
AmountPurchasedUnitTranslation,Amount Purchased,Obunji bwewagula ,,,
AmountPurchasedTranslation,Amount Purchased,Obunji bwewagula ,,,
OtherFeedTypeTranslation,Other Feed Type,Ebika ebirala ebye'mere yebisolo,,,
FeedTypeTranslation,Feed Type,Ebika bye'mere yebisolo,,,
TransportCostTrans,Transportation Cost,Entambula,,,
PurchasedFrom,Purchased From,Jjewabigula,,,
CommentTrans,Comment,Oyina kyogamba ,,,
FeedDurationTranslation,Feed use duration,Ebanga emere lyemala,,,
LabourDurationTranslation,Labour use duration,Ebanga abakoze lyebakola,,,
OtherCostsTranslation,Any Other Cost,Ensasanya endala yona,,,
OtherLaboutTypeTranslation,Other Labour Type,Ebika byabakozi ebirala,,,
LabourTypeTranslation,Labour Type,Ekyika kyabakozi,,,
LabourTitleTranslation,Labour,Abaakozi,,,
CostTranslation,Any other cost:,Ensasanya endala,,,
FeedItemTitleTranslation,Feed,Emere ye'bisolo,,,
OtherMedicineTypeTranslation,Other Medicine Type,Ebika byedagala ebilala ,,,
MedicineCostTranslation,Medicine Cost,Ensasaanya kudagala,,,
OtherProviderTranslation,Other provided service,Obuwerezza obulala,,,
ProviderTranslation,Who provided service,Ani akuwa obuwereza obwo,,,
HealthCareCostTranslation,Service Provider Cost,Obuwereza obwo bwasente meka,,,
OtherHealthCareTypeTranslation,Other Health Care Type,Obujanjabi obulala,,,
HealthCareTypeTranslation,Health Care Type,Ebika ebyo bujanjabi,,,
HealthCareTitleTranslation,Healthcare,Obujanjabi,,,
MedicineTypeTranslation,Medicine Type,Ebika bye dagala,,,
FinishTranslation,Finish,Maliliza,,,
StartTranslation,Start,Tandika,,,
DeleteTranslation,Delete,Ssangula,,,
Water,Water,Amazzi,,,
Housing,Housing,Enyumba,,,
Labour,Labour,Abakozi,,,
Healthcare,Healthcare,Ebyobulamu,,,
Feed,Feed,Emere  ye' bisolo,,,
Costs,Costs,Ensasaanya,,,
UploadDataTranslation,Upload,Sindika kumutimbagano,,,
Reproduction,Reproduction,Ebyo gwako no kuzaala,,,
RegistrationTranslation,Registration,Okwewandisa,,,
Home,Home,Awatandikilwa,,,
ViewReports,Reports,Alipota/obubaka,,,
EditData,View / Edit / Delete data,Byetegereze/Jamuensobi/ Bisangule wo,,,
AddData,Add Data,Yongerako Obubaka obulala,,,
DateLastUploaded,Data last uploaded,obuka bbwewasembayo okutekakko,,,
Village,Village,Ekyaalo,,,
Name,Name,Erinya,,,
FilterTranslation,Filter by:,Byawule okusinziraku,,,
HousingTitleTranslation,Housing,Enyumba,,,
Membership,Co-Operative / Group membership,Ekibiinna kyobwegasi,,,
OtherCostEvent,Other,Ebilala,,,
EditTranslation,Edit,Jamu ensobi,,,
ResetTranslation,Reset,Ddamu bupya,,,
SaveTranslation,Save,Bitereke ,,,
CommentTranslation,Comment,Bakokyogamba,,,
OtherCostTranslation,Any Other Cost,Ensasaanya endala,,,
TransportationCostTranslation,Transport Cost,Ensasaanya kubye'ntambula,,,
TotalCostTranslation,Total Cost,Gatta nsasaanya yona ,,,
Other,"Other, specify","Ebilala, biwandikawano.",,,
DateTranslation,Date,Enakuzomwezi,,,
OtherIncome,Other Income,Enyigiza yasente endala,,,
ManureSale,Sale of manure,Sente ezivvudde mukutunda Ebijimusa,,,
BreedingServiceSale,Sale of breeding services,Sente ezivvudde mukuwakisa Ebisolo,,,
PigSale,Sale of Pigs,Sente ezivvudde mukutunda Embizzi,,,
Income,Income,Enyingiza Ya sente,,,
LoanRepayment,Loan Repayment,Okusasula emabanja,,,
AnimalPurchase,Animal Purchase,Okugula Ebisolo,,,
Equipment,Equipment,Byetukozessa okkola Emirimu,,,
LanguageType5,Language,Olulimi lwoyogera,,,
HousingExpenseTranslation,Housing Expense,Ensasaanya kunyumba ye bisoolo,,,
YearsExpectedTranslation,Expected Housing Lifespan (Years),"Obuwangazi bwenyumba/Enyumba,Enawangala myaka emaka ",,,
NameTranslation,Name,Elinya,,,
UserNameTranslation,Username,Elinya lyo kozesa kumutimbagano,,,
RegistrationTitleTranslation,Registration,Okwewandisa,,,
TotalIncomeTranslation,Total Income,Omugatte gwasente zoyingizza ,,,
OtherIncomeTitleTranslation,Other Income,Sente endala zoyingizza,,,
VolumeSoldTranslation,Volume Sold,Watunda bunji kyi/ Bunji ki byo' tunda,,,
ManureSaleTitleTranslation,Sale of Manure,Entunda ye' ebijimusa,,,
OtherClientTranslation,Other Client,Omuguzi abalala,,,
ClientTranslation,Client,Omuguzzi,,,
PaymentValueTranslation,Value,Omuwendo,,,
PaymentTypeTranslation,Type,Ekika,,,
AnyOtherPaymentTranslation,Any Other Payment Received,Sente endala zebakusasula,,,
AmountRecievedTranslation,Amount received for all services,Sente zonna awamu e zobuwereza byoona,,,
NumberServicesTranslation,Number Services,Emirimu jjali emeka/ Obuwereza byali bya mirudi emeeka,,,
BreedingServiceSaleTitleTranslation,Sale of breeding services,Sente ezivvudde mukuwakisa Ebisolo,,,
EmailTranslation,Email,Elinya lyo kozesa ku emailo,,,
PhoneNumberTranslation,Phone Number,Esiimu yo,,,
DistrictTranslation,District,Disitulikiti yo,,,
CountyTranslation,County,Essaza,,,
LegalDisclaimerProceedTranslation,Proceed,Genda Mumaaso,,,
LegalDisclaimerAgreeTranslation,By checking this box you agree to the terms listed above,"Okuteka akasitale wano, kitegeeza okiriziganya ne'obukwakulizzo obuli mu mboozi yaffe",,,
LegalDisclaimerTitleTranslation,Legal Disclaimer,Tetuvunanyizibwa kwebyo ebiva mukozessa obubi omukutu guno,,,
WhereAreYouLocatedTranslation,Where Are You Located?,Obeelawa,,,
LanguageTranslation,Language,Olulimi,,,
GenderTranslation,Gender,Ekikula kyo,,,
BrokerageTranslation,Brokerage,Kayungirizi,,,
CurrencyTranslation,Currency,Ekika kye'sente,,,
SectorTranslation,Sector,Ekitongole ,,,
CommuneTranslation,Commune,Ekika kya'bantu gyobeera,,,
ProvinceTranslation,Province,Etundutundu jobela,,,
CountryTranslation,Country,Ensi,,,
VillageTranslation,Village,Ekyaalo,,,
ParishTranslation,Parish,Omuluka,,,
SubCountyTranslation,Sub County,Egombolola,,,
CellTranslation,Cell,Ekyaalo kyo,,,
OtherSoldToTranslation,Other Sold To,Bewaguzza abalala,,,
SoldToTranslation,Sold To,Bewaguzza,,,
OtherServiceTypeTranslation,Other service type,Ebika byobuwerezza ebilala,,,
ServiceTypeTranslation,Service type,Ebika byobuwerezza,,,
ReproductiveTitleTranslation,Reproduction,"Ebyekusa kugwako, ne'okuzzaala",,,
OtherWhatForTranslation,What for,Byaaki,,,
OtherCostTitleTranslation,Other,Ebilala,,,
TimePeriodTranslation,Time-period covered,Obudde bwebitutte,,,
OtherMembershipTypeTranslation,Other type,Ebika ebilala,,,
MembershipTypeTranslation,Membership type,Ekika kyo bwamemba ,,,
WaterDurationTranslation,Water use duration,Obudde bwomala nga okozessa amazzi,,,
OtherPurchasedWaterFromTranslation,Purchased From,Ngagula okuva,,,
PurchasedWaterFromTranslation,Who Purchased From,"Ani, agagula/ Ngagula okuva",,,
OtherWaterPurchasedTranslation,Other unit,Ekipimo ekilala,,,
WaterPurchasedTranslation,Water Purchased,Amazzi agagulwa,,,
WaterCostTitleTranslation,Water,Amazzi,,,
SliderControlTranslation,If new housing built (rather than maintenance) lifespan in years + expected salvage value at end ?,,,,
MembershipTitleTranslation,Co-Operative / Group membership,Ekibiinna kyobwegasi,,,
OtherHousingExpenseTranslation,Other Housing Expense,Ensasaanya endala kunyumba ye bisolo,,,
WhoProvidedServiceTranslation,Who Provided Service,Ani akuwa obuwereza obwo,,,
AnimalPurchaseTitleTranslation,Animal Purchase,Okugula Ebisolo,,,
NumberSoldTranslation,Number Sold,Watunda meka,,,
OtherPigTypeTranslation,Other Pig Type,Ebika bye mbizi ebilala,,,
PigTypeTranslation,Pig type,Ebika byembizi,,,
PigSaleTitleTranslation,Pig Sales,Okutunda embizi,,,
OtherEquipmentTypeTranslation,Other Equipment Type,Ebikozesebwa ebilala,,,
EquipmentTypeTranslation,Equipment Type,Ebika bye ebikozesebwa,,,
EquipmentTitleTranslation,Equipment,Ebikozesebwa,,,
OtherWhoProvidedServiceTranslation,Who Provided Service,Ani akuwa obuwereza obwo,,,
TotalAmountRepaidTranslation,Total Amount Paid,Omugatte gwasente zo sasula,,,
LoanProviderTranslation,Loan Provider,Ani akuwola sente,,,
LoanRepaymentTitleTranslation,Loan Repayment,Ensasula yasente zewewola,,,
OtherAnimalPurchasedTranslation,Purchased from,JJewabigula,,,
AnimalPurchasedFromTranslation,Purchased from,JJewabigula,,,
NumberPurchasedTranslation,Number purchased,Wagula bunji ki,,,
OtherAnimalTypeTranslation,Other Animal type,Ebika bye'bisolo,,,
AnimalTypeTranslation,Animal type,Ebika bye'bisolo,,,
OtherLoanProviderTranslation,Other Loan Provider,Abawola sente abalala/ bewewola ko sente abalala,,,
LanguageType6,Language,Olulimi ,,,
DropDownUnitType3,gram,Obuzito,,,
WatherDurationTranslation,Water Use Duration,Obudde bwomala nga okozessa amazzi,,,
SowsServicedCostTranslation,Total Service Cost,Omuggate gwosasula kubuwereza ,,,
TotalAnimalCosts,Total cost for all animals,Omugatte gwensasaanya kubisolo byona,,,
HealthProviderType3,Self,Nze,,,
HealthProviderType4,"Neighbour, friend, or relative","Mulilwana, mukwano gwo, owoluganda ",,,
VolumeUnitType2,Bag,Ensawo,,,
SaveHouseRecord,Housing record has been saved,Biterekeddwa ebiwandiko ebikwata kunyumba ze bisolo,,,
DeleteConfirmation,Deletion Confirmation,Bisanguddwa/Bijjiddwamu,,,
OK,OK,Kaale/Gendamumaso,,,
Cancel,Cancel,Togenda mumaso kukyikola/Tokyikola/SikkituFfu/Kijeeko/Kijeewo/Kijeemu,,,
DeleteVerify,Are you sure you want to Delete this item,Okakakasa oyagala kubijjamu,,,
Updated,Updated,Tugaseko ebipya  ,,,
Error,Error,Ensobi ekoledwa,,,
NoDate,Date obtained not provided,"Totademu naku,zamwezi lwewabifuna",,,
NoTotalCost,Total Cost Not Provided,Totaddemu omuggate gwa sente zewasasanya,,,
NoTransportationCost,Transportation Cost Not Provided,Totaddemu sente zewasasanya ku ntabula,,,
NoHousingExpense,Other Housing Expense Not Provided,"Totaddemu, Ensasanya endala ku nyumba ze bisolo",,,
NoAnimalType,Other Animal Type Not Provided,"Totaddemu, ebika bye ebisolo ebirala",,,
NoPurchasedFrom,Other Animal Purchased From Not Provided,"Totaddemu, ebisolo ebirala jjewagula/Totaddemu,  awala wewagula ebisolo ",,,
AnimalUpdated,Animal purchase record has been updated,Tugaseko ebiwandiko ebipya ebikwatagana mukugula ebisolo ,,,
AnimalSaved,Animal purchase has been saved,Biterekeddwa Ebyo kugula ebisolo ,,,
NoAmountRecevied,Amount Received Not Provided,Totaddemu sente zewafuna,,,
NoPaymentValue,Payment Value Not Provided,Totaddemu sente zewasasula,,,
NoServiceType,Other Service Type Not Provided,Totaddemu ebika byo obuwereza obulala,,,
NotOtherClient,Other Client Not Provided,Totaddemu bakasitoma abalala ,,,
BreedingSaved,Breeding service sale has been saved, Obuwerezza obwekusa ku no'kuwakisa buterekeddwa,,,
SaleSaved,Sale of reproductive services has been saved,Obuwerezza obwekusa kugwako no kuzzala buterekeddwa/ Entunda yo' obuwerezza obwekusa kugwako no kuzzala  eterekeddwa,,,
EquipmentUpdated,Equipment record has been updated,Tugaseko ebiwandiko ebipya ku bikozesebwa,,,
EquipmentSaved,Equipment record has been saved,Biterekeddwa ebikwata kubikozesebwa,,,
OtherEqNotProvided,Other Equipment Type Not Provided,Totaddemu ebika bye'bikozesebwa ebilala,,,
FeedUpdated,Feed record has been updated,Tugaseko ebiwandiko ebipya ku mere yebisolo,,,
FeedSaved,Feed item has been saved,Biterekedwa ebikwata ku mere yebisolo,,,
DurIsbefore,Duration Finish is before Duration Start,"Soka, otekemu obudde bwewamalirako, oddeko bwewatandikirako",,,
NoDurationStart,Duration Start Not Provided,Totaddemu obudde bwo' tandikiddeko,,,
NoDurationEnd,Duration Finish Not Provided,Totaddemu obudde bwo' malilideko,,,
OtherPurchasedUnitNotProvided,Other Amount Purchased Unit Not Provided,Totaddemu bipimo kubunji bwewagula,,,
NoOtherPurcFrom,Other Purchased From Not Provided,Totaddemu awalala jewabigula,,,
NoFeedType,Other Feed Type Not Provided,Totaddemu ebika ebirala ebye'mere yebisolo ,,,
HealthUpdated,Health care record has been updated,Tugaseko ebiwandiko ebipya ku byobulamu,,,
HealthSaved,Health care record has been saved,Biterekedwa ebikwata ku byobulamu,,,
NoOtherHealthCareYpe,Other Health Care Type Not Provided,Totaddemu ebika byobujjanjabi ebilala,,,
NoOtherProvider,Other Provider Not Provided,Totaddemu abawereza abalala ,,,
NoOtherMediceType,Other Medicine Type Not Provided,Totaddemu bika byadagla bilala,,,
NoMedicineCost,Medicine Cost Not Provided,Totaddemu nsasanya kudagala,,,
